Designator,Mid X,Mid Y,Rotation,Layer
C1_6,114.7,-74.0,0.0,top
C1_5,114.7,-124.0,0.0,top
C1_4,165.3,-66.0,180.0,top
C1_3,165.3,-116.0,180.0,top
C1_2,114.7,-99.0,0.0,top
C1,165.3,-91.0,180.0,top
C10_6,166.3,-117.6325,270.0,top
C10_5,113.7,-97.3675,90.0,top
C10_4,166.3,-67.6325,270.0,top
C10_3,113.7,-72.3675,90.0,top
C10_2,113.7,-122.3675,90.0,top
C10,166.3,-92.6325,270.0,top
C11_6,118.8,-98.4,270.0,top
C11_5,161.2,-66.6,90.0,top
C11_4,118.8,-123.4,270.0,top
C11_3,161.2,-116.6,90.0,top
C11_2,161.2,-91.6,90.0,top
C11,118.8,-73.4,270.0,top
C2_6,110.4,-70.0,270.0,bottom
C2_5,169.6,-95.0,90.0,bottom
C2_4,110.4,-95.0,270.0,bottom
C2_3,110.4,-120.0,270.0,bottom
C2_2,169.6,-120.0,90.0,bottom
C2,169.6,-70.0,90.0,bottom
C21_6,112.1,-66.8,180.0,bottom
C21_5,112.1,-91.8,180.0,bottom
C21_4,167.9,-98.2,0.0,bottom
C21_3,167.9,-123.2,0.0,bottom
C21_2,112.1,-116.8,180.0,bottom
C21,167.9,-73.2,0.0,bottom
C22_6,112.1,-117.9,180.0,bottom
C22_5,112.1,-92.9,180.0,bottom
C22_4,167.9,-97.1,0.0,bottom
C22_3,167.9,-72.1,0.0,bottom
C22_2,167.9,-122.1,0.0,bottom
C22,112.1,-67.9,180.0,bottom
C23_6,99.4,-70.0,90.0,bottom
C23_5,180.6,-120.0,270.0,bottom
C23_4,99.4,-95.0,90.0,bottom
C23_3,180.6,-70.0,270.0,bottom
C23_2,180.6,-95.0,270.0,bottom
C23,99.4,-120.0,90.0,bottom
C3_6,176.5,-120.0,270.0,bottom
C3_5,176.5,-95.0,270.0,bottom
C3_4,176.5,-70.0,270.0,bottom
C3_3,103.5,-95.0,90.0,bottom
C3_2,103.5,-70.0,90.0,bottom
C3,103.5,-120.0,90.0,bottom
C4_6,149.0,-64.25,270.0,top
C4_5,131.0,-125.75,90.0,top
C4_4,149.0,-114.25,270.0,top
C4_3,131.0,-75.75,90.0,top
C4_2,149.0,-89.25,270.0,top
C4,131.0,-100.75,90.0,top
C5_6,112.4,-119.9,270.0,top
C5_5,167.6,-70.1,90.0,top
C5_4,167.6,-95.1,90.0,top
C5_3,167.6,-120.1,90.0,top
C5_2,112.4,-69.9,270.0,top
C5,112.4,-94.9,270.0,top
C6_6,143.0,-89.25,270.0,top
C6_5,143.0,-64.25,270.0,top
C6_4,137.0,-125.75,90.0,top
C6_3,137.0,-100.75,90.0,top
C6_2,137.0,-75.75,90.0,top
C6,143.0,-114.25,270.0,top
C7_6,155.6,-122.8,180.0,top
C7_5,155.6,-97.8,180.0,top
C7_4,124.4,-117.2,0.0,top
C7_3,155.6,-72.8,180.0,top
C7_2,124.4,-67.2,0.0,top
C7,124.4,-92.2,0.0,top
C8_6,166.3,-70.0,270.0,top
C8_5,166.3,-95.0,270.0,top
C8_4,113.7,-95.0,90.0,top
C8_3,113.7,-70.0,90.0,top
C8_2,166.3,-120.0,270.0,top
C8,113.7,-120.0,90.0,top
C9_6,115.8,-95.0,270.0,top
C9_5,164.2,-70.0,90.0,top
C9_4,164.2,-120.0,90.0,top
C9_3,164.2,-95.0,90.0,top
C9_2,115.8,-70.0,270.0,top
C9,115.8,-120.0,270.0,top
CC1_6,127.2,-122.8025,270.0,top
CC1_5,127.2,-72.8025,270.0,top
CC1_4,127.2,-97.8025,270.0,top
CC1_3,152.8,-92.1975,90.0,top
CC1_2,152.8,-67.1975,90.0,top
CC1,152.8,-117.1975,90.0,top
CC2_6,157.8,-94.0,0.0,top
CC2_5,122.2,-96.0,180.0,top
CC2_4,122.2,-121.0,180.0,top
CC2_3,157.8,-119.0,0.0,top
CC2_2,122.2,-71.0,180.0,top
CC2,157.8,-69.0,0.0,top
CF1_6,148.1,-97.0,90.0,top
CF1_5,148.1,-72.0,90.0,top
CF1_4,131.9,-118.0,270.0,top
CF1_3,131.9,-93.0,270.0,top
CF1_2,131.9,-68.0,270.0,top
CF1,148.1,-122.0,90.0,top
CF2_6,150.3,-72.7,180.0,top
CF2_5,129.7,-117.3,0.0,top
CF2_4,150.3,-97.7,180.0,top
CF2_3,150.3,-122.7,180.0,top
CF2_2,129.7,-67.3,0.0,top
CF2,129.7,-92.3,0.0,top
CF3_6,131.8,-70.4,180.0,top
CF3_5,131.8,-120.4,180.0,top
CF3_4,131.8,-95.4,180.0,top
CF3_3,148.2,-119.6,0.0,top
CF3_2,148.2,-94.6,0.0,top
CF3,148.2,-69.6,0.0,top
CM1_6,113.7,-122.3675,270.0,bottom
CM1_5,166.3,-117.6325,90.0,bottom
CM1_4,166.3,-67.6325,90.0,bottom
CM1_3,113.7,-72.3675,270.0,bottom
CM1_2,166.3,-92.6325,90.0,bottom
CM1,113.7,-97.3675,270.0,bottom
CM2_6,122.8,-97.8,270.0,top
CM2_5,157.2,-92.2,90.0,top
CM2_4,157.2,-67.2,90.0,top
CM2_3,122.8,-122.8,270.0,top
CM2_2,157.2,-117.2,90.0,top
CM2,122.8,-72.8,270.0,top
CR1_6,167.9,-94.4,180.0,bottom
CR1_5,167.9,-119.4,180.0,bottom
CR1_4,112.1,-70.6,0.0,bottom
CR1_3,112.1,-120.6,0.0,bottom
CR1_2,112.1,-95.6,0.0,bottom
CR1,167.9,-69.4,180.0,bottom
FID1_6,145.5,-107.5,180.0,top
FID1_5,145.5,-82.5,180.0,top
FID1_4,134.5,-82.5,0.0,top
FID1_3,145.5,-132.5,180.0,top
FID1_2,134.5,-107.5,0.0,top
FID1,134.5,-57.5,0.0,top
FID2_6,102.0,-107.5,0.0,bottom
FID2_5,102.0,-57.5,0.0,bottom
FID2_4,102.0,-82.5,0.0,bottom
FID2_3,178.0,-132.5,180.0,bottom
FID2_2,178.0,-82.5,180.0,bottom
FID2,178.0,-107.5,180.0,bottom
J3V3_6,171.73,-80.0,270.0,top
J3V3_5,171.73,-105.0,270.0,top
J3V3_4,171.73,-130.0,270.0,top
J3V3_3,108.27,-110.0,90.0,top
J3V3_2,108.27,-60.0,90.0,top
J3V3,108.27,-85.0,90.0,top
J5V0_6,108.27,-130.0,90.0,top
J5V0_5,171.73,-85.0,270.0,top
J5V0_4,171.73,-60.0,270.0,top
J5V0_3,108.27,-80.0,90.0,top
J5V0_2,108.27,-105.0,90.0,top
J5V0,171.73,-110.0,270.0,top
JANT1_6,135.5,-95.005,180.0,top
JANT1_5,144.5,-94.995,0.0,top
JANT1_4,144.5,-119.995,0.0,top
JANT1_3,144.5,-69.995,0.0,top
JANT1_2,135.5,-70.005,180.0,top
JANT1,135.5,-120.005,180.0,top
JSER1_6,162.68,-101.35,90.0,top
JSER1_5,162.68,-126.35,90.0,top
JSER1_4,162.68,-76.35,90.0,top
JSER1_3,117.32,-113.65,270.0,top
JSER1_2,117.32,-63.65,270.0,top
JSER1,117.32,-88.65,270.0,top
JSER2_6,118.59,-76.35,270.0,top
JSER2_5,161.41,-113.65,90.0,top
JSER2_4,118.59,-101.35,270.0,top
JSER2_3,118.59,-126.35,270.0,top
JSER2_2,161.41,-88.65,90.0,top
JSER2,161.41,-63.65,90.0,top
JSWD1_6,148.71,-76.35,90.0,top
JSWD1_5,148.71,-126.35,90.0,top
JSWD1_4,131.29,-113.65,270.0,top
JSWD1_3,131.29,-63.65,270.0,top
JSWD1_2,131.29,-88.65,270.0,top
JSWD1,148.71,-101.35,90.0,top
ORIG1_6,178.0,-57.5,180.0,top
ORIG1_5,102.0,-82.5,0.0,top
ORIG1_4,178.0,-82.5,180.0,top
ORIG1_3,102.0,-132.5,0.0,top
ORIG1_2,178.0,-107.5,180.0,top
ORIG1,102.0,-107.5,0.0,top
ORIG2_6,134.5,-82.5,0.0,bottom
ORIG2_5,134.5,-132.5,0.0,bottom
ORIG2_4,134.5,-107.5,0.0,bottom
ORIG2_3,145.5,-57.5,180.0,bottom
ORIG2_2,145.5,-82.5,180.0,bottom
ORIG2,145.5,-107.5,180.0,bottom
Q1_6,150.8,-68.4975,90.0,top
Q1_5,150.8,-93.4975,90.0,top
Q1_4,129.2,-96.5025,270.0,top
Q1_3,129.2,-71.5025,270.0,top
Q1_2,129.2,-121.5025,270.0,top
Q1,150.8,-118.4975,90.0,top
R1_6,159.6,-67.7975,270.0,top
R1_5,159.6,-92.7975,270.0,top
R1_4,159.6,-117.7975,270.0,top
R1_3,120.4,-97.2025,90.0,top
R1_2,120.4,-122.2025,90.0,top
R1,120.4,-72.2025,90.0,top
R2_6,120.4,-119.8025,90.0,top
R2_5,120.4,-69.8025,90.0,top
R2_4,159.6,-70.1975,270.0,top
R2_3,159.6,-120.1975,270.0,top
R2_2,159.6,-95.1975,270.0,top
R2,120.4,-94.8025,90.0,top
R3_6,114.8,-120.0,90.0,top
R3_5,165.2,-120.0,270.0,top
R3_4,114.8,-70.0,90.0,top
R3_3,165.2,-95.0,270.0,top
R3_2,114.8,-95.0,90.0,top
R3,165.2,-70.0,270.0,top
R4_6,164.2,-67.6,270.0,top
R4_5,115.8,-72.4,90.0,top
R4_4,115.8,-97.4,90.0,top
R4_3,164.2,-92.6,270.0,top
R4_2,164.2,-117.6,270.0,top
R4,115.8,-122.4,90.0,top
RF1_6,142.2,-121.6025,90.0,top
RF1_5,142.2,-71.6025,90.0,top
RF1_4,142.2,-96.6025,90.0,top
RF1_3,137.8,-68.3975,270.0,top
RF1_2,137.8,-93.3975,270.0,top
RF1,137.8,-118.3975,270.0,top
RF2_6,137.8,-95.7975,270.0,top
RF2_5,137.8,-70.7975,270.0,top
RF2_4,142.2,-94.2025,90.0,top
RF2_3,137.8,-120.7975,270.0,top
RF2_2,142.2,-119.2025,90.0,top
RF2,142.2,-69.2025,90.0,top
RF3_6,129.7,-125.6,90.0,top
RF3_5,150.3,-89.4,270.0,top
RF3_4,150.3,-64.4,270.0,top
RF3_3,129.7,-75.6,90.0,top
RF3_2,150.3,-114.4,270.0,top
RF3,129.7,-100.6,90.0,top
RF4_6,131.8,-121.5,0.0,top
RF4_5,148.2,-93.5,180.0,top
RF4_4,131.8,-96.5,0.0,top
RF4_3,131.8,-71.5,0.0,top
RF4_2,148.2,-68.5,180.0,top
RF4,148.2,-118.5,180.0,top
RG1_6,101.4,-73.7,180.0,bottom
RG1_5,178.6,-66.3,0.0,bottom
RG1_4,178.6,-91.3,0.0,bottom
RG1_3,101.4,-123.7,180.0,bottom
RG1_2,101.4,-98.7,180.0,bottom
RG1,178.6,-116.3,0.0,bottom
RG2_6,101.4,-97.6,180.0,bottom
RG2_5,101.4,-72.6,180.0,bottom
RG2_4,178.6,-117.4,0.0,bottom
RG2_3,178.6,-67.4,0.0,bottom
RG2_2,101.4,-122.6,180.0,bottom
RG2,178.6,-92.4,0.0,bottom
RG3_6,106.0,-73.7,180.0,bottom
RG3_5,174.0,-91.3,0.0,bottom
RG3_4,174.0,-116.3,0.0,bottom
RG3_3,106.0,-98.7,180.0,bottom
RG3_2,174.0,-66.3,0.0,bottom
RG3,106.0,-123.7,180.0,bottom
RG4_6,103.7,-123.7,180.0,bottom
RG4_5,103.7,-73.7,180.0,bottom
RG4_4,176.3,-66.3,0.0,bottom
RG4_3,176.3,-116.3,0.0,bottom
RG4_2,103.7,-98.7,180.0,bottom
RG4,176.3,-91.3,0.0,bottom
RM1_6,109.5,-73.7,0.0,bottom
RM1_5,170.5,-91.3,180.0,bottom
RM1_4,170.5,-116.3,180.0,bottom
RM1_3,109.5,-123.7,0.0,bottom
RM1_2,109.5,-98.7,0.0,bottom
RM1,170.5,-66.3,180.0,bottom
RM2_6,165.2,-92.6,90.0,bottom
RM2_5,114.8,-72.4,270.0,bottom
RM2_4,114.8,-122.4,270.0,bottom
RM2_3,165.2,-67.6,90.0,bottom
RM2_2,114.8,-97.4,270.0,bottom
RM2,165.2,-117.6,90.0,bottom
RM3_6,126.6,-96.0,180.0,top
RM3_5,126.6,-71.0,180.0,top
RM3_4,153.4,-119.0,0.0,top
RM3_3,126.6,-121.0,180.0,top
RM3_2,153.4,-69.0,0.0,top
RM3,153.4,-94.0,0.0,top
RM4_6,125.0,-72.8,270.0,top
RM4_5,125.0,-122.8,270.0,top
RM4_4,155.0,-67.2,90.0,top
RM4_3,155.0,-117.2,90.0,top
RM4_2,155.0,-92.2,90.0,top
RM4,125.0,-97.8,270.0,top
RR1_6,112.1,-94.4,180.0,bottom
RR1_5,112.1,-69.4,180.0,bottom
RR1_4,112.1,-119.4,180.0,bottom
RR1_3,167.9,-95.6,0.0,bottom
RR1_2,167.9,-120.6,0.0,bottom
RR1,167.9,-70.6,0.0,bottom
U1_6,173.1,-119.7,180.0,bottom
U1_5,173.1,-69.7,180.0,bottom
U1_4,106.9,-95.3,0.0,bottom
U1_3,173.1,-94.7,180.0,bottom
U1_2,106.9,-120.3,0.0,bottom
U1,106.9,-70.3,0.0,bottom
U2_6,146.0,-89.25,0.0,top
U2_5,146.0,-64.25,0.0,top
U2_4,146.0,-114.25,0.0,top
U2_3,134.0,-125.75,180.0,top
U2_2,134.0,-75.75,180.0,top
U2,134.0,-100.75,180.0,top
U3_6,118.0,-120.0,270.0,top
U3_5,118.0,-70.0,270.0,top
U3_4,162.0,-95.0,90.0,top
U3_3,162.0,-70.0,90.0,top
U3_2,162.0,-120.0,90.0,top
U3,118.0,-95.0,270.0,top
USBA1_6,102.0,-120.0,0.0,top
USBA1_5,102.0,-70.0,0.0,top
USBA1_4,178.0,-120.0,180.0,top
USBA1_3,178.0,-95.0,180.0,top
USBA1_2,102.0,-95.0,0.0,top
USBA1,178.0,-70.0,180.0,top
Y1_6,163.4,-123.3,180.0,top
Y1_5,163.4,-98.3,180.0,top
Y1_4,116.6,-91.7,0.0,top
Y1_3,163.4,-73.3,180.0,top
Y1_2,116.6,-116.7,0.0,top
Y1,116.6,-66.7,0.0,top
